Years of Gym Membership,Weekly Workout Hours,Age,Nutrition Knowledge Level,Income Level,Monthly Expenditure (USD)
6,16,46,3,3,1255.0689837456584
3,15,22,2,3,982.6809386116896
10,1,23,5,3,1030.9580239798022
7,17,48,3,1,1127.858709622204
4,16,33,4,3,1111.9492254270579
6,6,48,4,2,872.7738487494828
9,12,42,3,1,1131.6308208390737
2,17,63,4,1,1079.947378615459
6,13,50,3,1,1006.9018177599469
10,17,30,3,2,1347.981000299158
10,12,27,4,1,1032.2719481043082
7,10,41,1,2,949.0617885523016
4,20,27,2,3,1098.5621617203124
3,20,58,5,1,1047.3159970055851
7,15,48,2,2,1151.904895302285
7,16,30,5,1,1120.168735262813
2,7,20,5,3,745.8467612121117
5,18,51,2,1,1077.3759696606235
4,19,45,3,3,1098.8353139443614
1,14,36,4,1,701.5617407266542
7,8,40,1,2,930.1533911361322
5,19,62,1,3,1223.652101716994
1,9,49,1,1,577.2593274201397
4,11,30,2,3,999.8072414533477
0,20,50,2,3,1071.9965952416148
9,19,51,3,2,1411.0017130750584
5,0,50,1,2,782.0606183316761
8,19,22,3,2,1148.9814789865695
0,8,20,1,2,428.85797872848264
10,14,24,2,3,1219.6199576013735
10,0,41,4,3,1092.049110218135
9,11,39,4,1,1054.5242516536293
2,2,62,4,1,696.4069395813344
6,10,40,4,1,936.1588939758103
3,1,47,5,2,746.2169034005137
8,15,35,1,3,1199.2961178294825
2,8,49,4,3,979.74611409012
4,14,24,5,1,785.4088520449781
2,11,50,5,1,859.4836533507853
6,0,22,5,3,754.4352899897438
4,12,45,3,2,926.7052168657203
8,13,25,3,1,1050.5293387403779
6,7,32,5,1,865.042094615807
1,7,21,4,3,691.6679147427718
3,11,51,1,3,1000.7660178386678
8,0,22,2,1,699.7552038376676
1,10,50,3,1,717.7307417726473
9,7,22,4,2,1009.9320413950618
8,9,55,4,2,1222.997252486132
9,18,51,2,2,1292.80491772637
4,10,43,2,2,840.4407964657228
1,6,18,4,1,573.7139826819126
3,10,21,2,1,590.0041822748591
6,16,56,4,1,1018.407770180932
7,0,43,2,2,878.1247631773425
2,20,50,2,1,978.0651095595495
0,20,50,4,3,1058.2124848475873
3,7,25,5,2,660.2799988146647
1,5,37,4,3,752.2391045163564
