Distance Traveled (miles),Number of Participants,Age,Accommodation Quality,Duration of Stay (days),Travel Expenses (USD)
112,4,63,1,1,2085.301672172388
445,4,53,5,3,3063.5806127627434
358,4,29,1,1,1511.5171317173524
280,2,55,3,3,2389.655299057765
116,3,28,2,3,1838.7769925655105
81,5,29,5,2,2233.967225180288
198,3,59,1,2,2041.836174933578
30,1,56,2,1,1753.4601364384753
112,4,24,4,3,2174.3600837434064
131,3,28,3,3,1944.7300162387592
476,5,53,3,2,2689.692082311463
224,1,48,5,2,2364.1940594036287
340,2,50,1,2,1919.127283026712
468,2,30,4,2,2063.8169342521333
97,5,35,5,1,2247.317988419238
382,1,58,5,1,2427.252323693482
109,4,41,1,1,1510.1507587234105
369,3,26,4,1,1678.4825762831488
161,1,48,1,2,1743.8031249667888
140,2,58,3,1,2045.5791194874266
159,5,27,2,1,1594.7020973582107
318,5,19,3,1,1783.4996995463346
267,3,55,3,2,2346.8160057849736
353,5,32,5,3,2659.576785468443
423,5,20,3,2,1962.1234218893196
303,1,60,4,3,2640.8521719462715
395,4,48,3,3,2674.70407117109
201,3,23,4,1,1641.7698388385052
453,1,20,1,1,1112.4675322165122
286,4,28,5,1,2056.513029342368
170,1,32,4,2,1873.3466171452094
469,1,62,3,2,2355.902536385776
323,5,45,5,1,2398.821867061871
31,4,27,5,2,2106.9874493403136
262,3,55,4,2,2488.627484149965
245,3,64,4,3,2975.74399573119
354,4,24,2,2,1752.8467206408366
58,5,32,2,3,2079.988716507241
484,2,35,5,1,2076.631751771411
68,1,35,2,2,1501.4329700322269
179,5,58,3,3,2802.3753369705905
485,4,41,1,2,2063.2362720320198
197,1,19,5,3,1912.8706566934188
473,3,57,1,3,2407.358718029486
280,2,37,2,2,1820.2408422479664
199,3,51,4,1,2135.2668325962813
455,4,60,5,3,3236.9236166509977
184,1,43,2,1,1511.6823111154074
455,4,24,3,2,2004.728057275581
60,1,55,5,2,2394.69226853058
373,5,47,5,1,2472.3029592534117
64,2,59,4,2,2412.5936342355494
253,5,22,5,3,2482.214078954358
329,5,28,4,1,2009.3223922653167
140,4,18,2,2,1519.4122121074506
494,2,51,3,2,2278.6294919237134
316,1,18,3,1,1327.7755581735773
144,1,36,5,3,2218.8541526835174
30,3,19,5,1,1734.5765007999153
338,1,38,2,2,1786.7667523492714
176,4,37,4,2,2294.597183255337
283,5,40,3,1,2095.508669436273
397,5,38,4,3,2634.183690033462
98,5,41,2,3,2292.9212536124737
325,2,21,3,3,1910.099581544362
23,1,29,3,1,1430.162030583422
251,4,39,1,3,1962.640154442607
274,2,37,2,3,2112.2398695357942
355,3,35,2,3,2090.1071297865556
62,4,18,1,3,1579.9565610943762
395,4,47,4,2,2492.735845348848
349,4,50,1,1,1876.2911747546386
101,5,41,2,1,1798.5590426774636
376,4,31,4,3,2493.182609146271
453,1,53,3,1,2002.096333265933
464,4,22,1,1,1417.4053405638372
437,5,28,4,2,2263.4318230187732
273,4,41,4,1,2105.458615682962
440,3,48,4,2,2470.052259657206
44,3,30,1,1,1276.3950005177169
215,5,33,3,2,2179.938895841307
90,1,41,4,2,1912.045033185275
429,1,30,1,1,1235.3249580917625
59,2,41,2,2,1777.0053696724224
369,5,43,1,2,2096.769547233371
397,4,19,1,1,1331.6905864441887
11,5,33,1,2,1666.9463385425263
399,2,55,4,2,2538.423099657643
63,5,63,1,2,2412.1811977779234
115,5,18,2,2,1683.5583279797545
269,2,28,4,2,1884.819265584788
319,1,52,2,3,2070.3521739661696
486,4,60,5,2,3004.6865417324725
200,2,46,1,2,1775.0155149789066
411,3,54,4,2,2534.5940696515463
227,1,34,4,2,1852.4171369370067
53,3,56,1,1,1746.72213757897
171,1,59,3,3,2429.2262114892255
211,4,45,3,1,2014.379718961971
455,4,46,2,3,2455.754372960857
493,5,60,1,2,2615.3270565524394
279,3,20,1,2,1380.2080041448419
