Years of Education,Weekly Working Hours,Age,English Proficiency,Residence Area,Monthly Income (MXN)
16,47,27,2,1,138741.74112615042
13,44,30,4,1,136807.74231768117
20,35,23,2,0,116826.99967869336
17,21,18,1,1,73156.24169743597
14,37,29,4,0,118644.34637939544
16,36,26,2,1,102499.5798524512
19,49,23,5,1,136522.60108626177
12,58,21,5,1,121919.50121640488
16,32,21,2,0,90078.48981611956
20,51,20,4,0,128560.55472237171
20,48,24,4,0,130846.77260659394
17,49,20,1,1,112374.16576888271
14,37,19,1,0,85964.11366834087
13,32,27,3,1,95769.09614680921
17,40,25,1,1,112831.55264144891
17,49,21,4,0,115259.29328904778
12,40,25,3,0,106820.76006455634
15,36,18,1,1,82264.21186857215
14,59,22,2,1,129920.89450662746
11,38,30,5,1,119775.17691587056
17,34,26,1,1,122638.42830061911
15,28,18,1,0,76847.85624225221
11,29,28,2,0,96898.08734771659
14,50,30,4,0,145245.39085885565
10,42,21,2,1,100603.58019061337
19,49,23,1,1,130938.84724782468
15,52,27,4,1,135830.5539948844
18,28,25,3,0,101314.95222691346
10,20,20,1,1,54120.5382867593
20,54,22,2,1,135354.60413323974
20,30,24,3,0,105205.67154296007
19,53,18,5,0,127762.89818552799
12,35,24,3,1,95529.39914543499
16,28,30,2,0,107628.83915412244
13,51,29,3,1,136915.33100873927
18,34,28,2,0,115954.9696209361
12,31,25,1,1,92909.15678469381
14,52,25,4,0,132646.61666341865
12,33,26,5,0,98574.45967178485
16,27,23,4,0,92074.46104999579
14,27,29,4,0,106136.25907434468
18,46,23,4,1,128768.3791086925
16,31,19,2,1,84446.1267485245
11,20,20,2,0,64160.42312475298
13,59,21,5,1,132345.1560306819
18,30,21,2,0,93620.89964191071
11,58,25,2,0,129246.56030098816
19,50,18,2,1,118372.81699329875
18,36,27,2,1,122761.43941235828
19,52,21,1,1,125012.05293047185
14,51,28,5,1,147471.4123168093
11,48,29,2,1,144117.52949919045
13,40,30,5,1,125714.34554228457
16,40,28,3,1,124649.07245325184
17,59,28,1,0,151274.87481372032
12,42,21,2,1,93452.18703828838
10,25,18,1,0,54118.54722133269
13,41,20,1,1,100786.13988326085
11,57,22,3,1,124089.93230039561
17,56,23,5,0,147595.08168090126
13,27,26,1,0,90057.47978288995
11,60,26,4,0,142081.7541320396
15,54,26,3,0,133478.5308003266
15,30,28,4,1,110449.09351371859
19,43,18,3,1,107939.10557426895
13,40,29,4,0,112479.57811494885
15,21,26,4,0,85375.18749095265
11,59,30,1,1,152679.65219342458
19,38,25,1,1,121913.33716610303
11,58,19,3,0,108758.12312713054
19,47,30,5,1,149695.19086636172
13,36,28,1,1,101151.93002126142
17,25,18,1,0,72482.81470218116
16,38,18,2,0,97301.49943859792
18,57,29,1,0,162018.10968266122
17,47,23,5,0,130840.34396561905
14,21,26,2,1,90134.84015719079
11,57,24,4,0,135291.02288738542
14,56,22,4,1,129053.6862332684
17,23,28,2,1,99890.64667038004
19,41,19,2,1,112203.07609599158
18,45,18,2,1,108942.29781023099
18,55,19,3,0,115523.81212798355
10,32,18,5,1,81082.88948058912
18,51,20,5,0,122400.74823422801
16,36,23,4,1,103664.37149998317
18,60,30,4,0,170894.52276230912
17,55,25,4,1,147720.32613161008
10,38,20,1,1,81215.59730177134
17,54,27,4,0,145214.5610483026
17,59,26,2,0,143957.85468625382
20,47,27,4,0,137090.27638371667
12,20,22,2,0,53036.21800628221
10,37,24,3,1,93430.04021104514
17,59,25,1,1,145644.26355282567
12,52,20,1,1,96833.55037125644
12,31,19,5,1,73640.73774586905
10,27,19,3,1,71535.25875537918
20,43,22,2,0,111438.48427876593
14,35,18,3,0,82713.83638846288
19,23,19,1,1,70233.17548802437
16,57,30,2,0,157547.18777160818
19,46,26,3,1,134371.23000469134
18,28,24,1,1,94411.6292119526
16,35,23,2,0,88277.50236314443
18,31,26,2,1,106030.67222333759
17,50,24,1,0,131323.7083961812
11,43,28,2,1,128250.29526810728
10,33,22,1,0,81403.71199534676
16,44,26,4,1,127499.59041054384
16,53,23,4,1,129112.68205095723
17,22,23,2,0,90146.41680682964
14,43,28,2,1,125296.70489285106
12,28,21,1,1,82468.64357121268
17,45,30,2,0,140741.04509711737
15,39,29,5,0,127114.52647131312
20,59,18,4,0,127398.71986401874
12,29,22,2,1,92412.97317157293
10,38,28,2,0,116329.6684296738
12,22,26,3,0,95370.97821838345
14,43,30,2,0,125003.05024180941
12,24,25,5,1,89320.15250301774
10,22,25,4,0,74033.42979541513
14,46,22,3,1,116218.30809786718
19,35,29,1,1,127961.11614262992
16,34,26,1,0,105930.0677643754
16,54,20,4,1,123856.90103245601
20,31,20,1,1,105953.8408004596
18,60,18,5,1,132323.43885785848
19,45,26,2,1,122487.11671470107
19,53,23,4,1,135819.2446206744
12,42,19,3,0,87523.65463961742
16,50,25,2,0,125401.16420049324
10,39,29,1,0,116046.73804674408
13,31,26,1,1,103954.56363035197
13,42,26,3,0,111784.7619250008
14,23,19,5,1,69746.57635392141
16,42,19,3,1,99509.20574914306
16,20,30,4,1,111590.52115197568
20,44,24,3,1,133603.99426377975
13,21,28,1,0,91884.70366825123
16,49,21,5,1,116339.71343306307
20,22,30,5,0,105453.7033465134
12,40,18,3,0,93152.38642509148
15,44,25,4,1,132594.58370798026
11,39,19,1,0,75717.15202332742
19,41,20,2,0,118707.43392561516
18,40,22,5,0,112469.93923403282
14,52,20,3,1,117840.87214503264
15,57,24,4,1,132910.57027845204
13,34,24,4,1,92126.20674675488
20,34,19,1,0,83680.98560143521
19,44,30,5,0,150154.11186215866
16,40,30,1,1,130586.31734110681
18,43,24,2,1,124803.91203857207
16,24,28,2,0,105665.58476071375
10,25,23,2,1,76021.00225993834
10,42,27,4,1,124447.33288333073
18,23,26,5,0,95372.92969178817
20,46,30,1,0,143911.9363732205
18,37,26,1,1,113985.8912506218
13,40,19,2,1,97177.53128376993
18,47,24,5,1,137067.80035440085
12,54,22,5,1,121735.38773027556
16,41,30,3,0,125534.26324225897
15,59,23,5,1,146653.05667120861
17,42,18,5,1,99596.25436085445
20,22,24,1,0,89985.99523377985
18,59,23,5,0,139133.71692141355
14,29,21,5,0,86937.29280728415
10,44,18,1,0,83150.18961247706
12,27,26,5,0,97007.03678768671
19,30,21,1,0,90201.20120138732
17,24,19,3,0,78689.22299003837
20,56,25,4,1,146376.57539022356
15,57,19,1,1,127631.31438717741
17,48,22,1,0,116500.48699101024
18,24,28,5,1,109450.34101876216
13,28,23,1,1,80060.49810582958
10,21,28,2,0,83419.59943669807
10,20,30,2,0,82246.06261345929
19,59,25,3,0,150280.525415116
13,49,28,1,0,125692.33549235358
16,30,18,5,0,81223.23940270461
11,47,18,5,1,101829.60510648615
12,31,29,4,1,102638.3079659802
10,58,21,3,0,118782.35725011822
14,45,22,5,0,114541.54794851759
10,32,30,4,1,112020.35858824523
17,27,30,5,1,127091.91205252006
10,47,26,4,1,116777.45780182122
20,49,28,2,0,145485.95745964753
10,28,24,2,0,90738.6089545196
11,58,24,5,1,127133.71891818594
11,50,25,3,0,109512.2674538363
15,40,22,1,1,107677.85830947894
16,53,22,3,0,131716.1178080217
14,50,18,3,0,95449.88609906439
10,44,26,1,1,111400.99581125955
10,31,23,2,1,80410.31685468061
12,20,26,2,0,81548.3763930093
11,41,20,1,1,92330.76203144118
14,59,22,4,0,139044.73066548104
19,56,19,3,1,123275.72312166647
15,20,27,5,1,95930.1672172388
16,20,22,2,0,79108.06127627435
13,40,30,5,0,127251.71317173525
16,34,30,1,0,109965.52990577654
